regset,rank,score,dyn_valid,dec_valid,reg_a,reg_h,reg_b,reg_c,reg_decoder
other_up10,4,0.40536963757995875,0.08468710195025231,0.32068253562970644,1e-07,10.0,10.0,1e-05,0.001
baseline_B10,4,0.405369649690079,0.08468710593400813,0.32068254375607086,1e-08,1.0,10.0,1e-06,0.0001
Hsmall_B10,4,0.4053696503914436,0.08468710663537278,0.32068254375607086,1e-08,0.01,10.0,1e-06,0.0001
other_down10,4,0.4053696509017879,0.08468710633241436,0.3206825445693735,1e-09,0.1,10.0,1e-07,1e-05
other_down100,4,0.405369651022965,0.08468710637225435,0.32068254465071067,1e-10,0.01,10.0,1e-08,1e-06
B1,4,0.4055072920790414,0.08482474832297056,0.32068254375607086,1e-08,1.0,1.0,1e-06,0.0001
B100,4,0.4056664107097225,0.08498386695365162,0.32068254375607086,1e-08,1.0,100.0,1e-06,0.0001
other_down100,6,0.34479543053223716,0.10864927960350851,0.23614615092872865,1e-10,0.01,10.0,1e-08,1e-06
Hsmall_B10,6,0.3447954317075586,0.10864928008074208,0.23614615162681654,1e-08,0.01,10.0,1e-06,0.0001
other_down10,6,0.3447954319090677,0.10864928091688457,0.2361461509921831,1e-09,0.1,10.0,1e-07,1e-05
baseline_B10,6,0.3447954456774869,0.10864929405067036,0.23614615162681654,1e-08,1.0,10.0,1e-06,0.0001
other_up10,6,0.3447955833753115,0.1086494253931501,0.23614615798216143,1e-07,10.0,10.0,1e-05,0.001
B1,6,0.3448362088861068,0.10869005725929021,0.23614615162681654,1e-08,1.0,1.0,1e-06,0.0001
B100,6,0.3450229295085757,0.10887677788175919,0.23614615162681654,1e-08,1.0,100.0,1e-06,0.0001
B1,8,0.2170833410426677,0.0354118287209111,0.18167151232175657,1e-08,1.0,1.0,1e-06,0.0001
other_up10,8,0.21712586077992724,0.035454359788440075,0.18167150099148716,1e-07,10.0,10.0,1e-05,0.001
baseline_B10,8,0.2171258879638221,0.035454375642065536,0.18167151232175657,1e-08,1.0,10.0,1e-06,0.0001
Hsmall_B10,8,0.21712588982300546,0.03545437750124889,0.18167151232175657,1e-08,0.01,10.0,1e-06,0.0001
other_down10,8,0.21712589068492494,0.03545437722895725,0.1816715134559677,1e-09,0.1,10.0,1e-07,1e-05
other_down100,8,0.21712589095706253,0.035454377387662085,0.18167151356940045,1e-10,0.01,10.0,1e-08,1e-06
B100,8,0.21887966920066856,0.037208156878911984,0.18167151232175657,1e-08,1.0,100.0,1e-06,0.0001
Hsmall_B10,10,0.17963387714017512,0.03867867602854804,0.14095520111162707,1e-08,0.01,10.0,1e-06,0.0001
other_down100,10,0.17963387759178653,0.038678676328854744,0.1409552012629318,1e-10,0.01,10.0,1e-08,1e-06
other_down10,10,0.1796338794883626,0.03867867823919934,0.14095520124916325,1e-09,0.1,10.0,1e-07,1e-05
baseline_B10,10,0.17963389845639602,0.038678697344768954,0.14095520111162707,1e-08,1.0,10.0,1e-06,0.0001
other_up10,10,0.1796340883677715,0.03867888861628082,0.14095519975149068,1e-07,10.0,10.0,1e-05,0.001
B1,10,0.17965582825088638,0.03870062713925932,0.14095520111162707,1e-08,1.0,1.0,1e-06,0.0001
B100,10,0.18096004197773075,0.04000484086610369,0.14095520111162707,1e-08,1.0,100.0,1e-06,0.0001
other_up10,12,0.15190436462478168,0.03310996142848523,0.11879440319629646,1e-07,10.0,10.0,1e-05,0.001
baseline_B10,12,0.15190474572428153,0.033110339509924216,0.11879440621435733,1e-08,1.0,10.0,1e-06,0.0001
other_down10,12,0.15190478792261197,0.033110381404629706,0.11879440651798227,1e-09,0.1,10.0,1e-07,1e-05
Hsmall_B10,12,0.15190479148471525,0.03311038527035792,0.11879440621435733,1e-08,0.01,10.0,1e-06,0.0001
other_down100,12,0.1519047921845409,0.03311038563617819,0.11879440654836271,1e-10,0.01,10.0,1e-08,1e-06
B1,12,0.15193072134661761,0.03313631513226029,0.11879440621435733,1e-08,1.0,1.0,1e-06,0.0001
B100,12,0.15341915169804876,0.03462474548369142,0.11879440621435733,1e-08,1.0,100.0,1e-06,0.0001
other_up10,14,0.13552446818953176,0.033294080226532824,0.10223038796299894,1e-07,10.0,10.0,1e-05,0.001
baseline_B10,14,0.1355252803622727,0.033294889998772705,0.1022303903635,1e-08,1.0,10.0,1e-06,0.0001
other_down10,14,0.13552537182977215,0.03329498122408842,0.10223039060568373,1e-09,0.1,10.0,1e-07,1e-05
Hsmall_B10,14,0.13552538061130717,0.033294990247807174,0.1022303903635,1e-08,0.01,10.0,1e-06,0.0001
other_down100,14,0.13552538108264126,0.03329499045271859,0.10223039062992267,1e-10,0.01,10.0,1e-08,1e-06
B1,14,0.13553429190255042,0.03330390153905042,0.1022303903635,1e-08,1.0,1.0,1e-06,0.0001
B100,14,0.13745588117601934,0.03522549081251935,0.1022303903635,1e-08,1.0,100.0,1e-06,0.0001
other_up10,16,0.15640697773323878,0.06406910247809738,0.0923378752551414,1e-07,10.0,10.0,1e-05,0.001
baseline_B10,16,0.15641356112594046,0.06407569166037358,0.09233786946556688,1e-08,1.0,10.0,1e-06,0.0001
other_down10,16,0.156414245213296,0.06407637632432268,0.09233786888897333,1e-09,0.1,10.0,1e-07,1e-05
other_down100,16,0.15641431388808644,0.06407644505674974,0.0923378688313367,1e-10,0.01,10.0,1e-08,1e-06
Hsmall_B10,16,0.15641431452607726,0.06407644506051038,0.09233786946556688,1e-08,0.01,10.0,1e-06,0.0001
B1,16,0.15642411344368684,0.06408624397811997,0.09233786946556688,1e-08,1.0,1.0,1e-06,0.0001
B100,16,0.15744745983653236,0.06510959037096549,0.09233786946556688,1e-08,1.0,100.0,1e-06,0.0001
other_up10,18,0.13508265442979694,0.053080800614401374,0.08200185381539558,1e-07,10.0,10.0,1e-05,0.001
baseline_B10,18,0.13508535958927428,0.053083510755234674,0.08200184883403962,1e-08,1.0,10.0,1e-06,0.0001
other_down10,18,0.13508576904607095,0.05308392070749531,0.08200184833857564,1e-09,0.1,10.0,1e-07,1e-05
other_down100,18,0.13508581153831067,0.05308396324925493,0.08200184828905575,1e-10,0.01,10.0,1e-08,1e-06
Hsmall_B10,18,0.135085812152315,0.05308396331827538,0.08200184883403962,1e-08,0.01,10.0,1e-06,0.0001
B1,18,0.1350889022933301,0.05308705345929049,0.08200184883403962,1e-08,1.0,1.0,1e-06,0.0001
B100,18,0.13638584023511185,0.05438399140107225,0.08200184883403962,1e-08,1.0,100.0,1e-06,0.0001
other_up10,20,0.1206268229806432,0.05006785531212956,0.07055896766851365,1e-07,10.0,10.0,1e-05,0.001
B1,20,0.12062797198530933,0.05006901308998123,0.07055895889532811,1e-08,1.0,1.0,1e-06,0.0001
baseline_B10,20,0.12063507932167469,0.05007612042634658,0.07055895889532811,1e-08,1.0,10.0,1e-06,0.0001
other_down10,20,0.1206362117317208,0.050077253710599706,0.0705589580211211,1e-09,0.1,10.0,1e-07,1e-05
other_down100,20,0.12063632857074216,0.050077370637011086,0.07055895793373108,1e-10,0.01,10.0,1e-08,1e-06
Hsmall_B10,20,0.12063632964129437,0.050077370745966264,0.07055895889532811,1e-08,0.01,10.0,1e-06,0.0001
B100,20,0.12208342067055966,0.05152446177523156,0.07055895889532811,1e-08,1.0,100.0,1e-06,0.0001
B1,24,0.10003086278780526,0.042514339995345124,0.05751652279246014,1e-08,1.0,1.0,1e-06,0.0001
Hsmall_B10,24,0.10004333443560703,0.0425268116431469,0.05751652279246014,1e-08,0.01,10.0,1e-06,0.0001
other_down100,24,0.10004333470720778,0.04252681164536218,0.0575165230618456,1e-10,0.01,10.0,1e-08,1e-06
other_down10,24,0.10004341934254776,0.04252689630522675,0.05751652303732101,1e-09,0.1,10.0,1e-07,1e-05
baseline_B10,24,0.10004446664181957,0.04252794384935942,0.05751652279246014,1e-08,1.0,10.0,1e-06,0.0001
other_up10,24,0.1000659000060311,0.04254937962329721,0.057516520382733895,1e-07,10.0,10.0,1e-05,0.001
B100,24,0.10212388661593486,0.04460736382347472,0.05751652279246014,1e-08,1.0,100.0,1e-06,0.0001
B1,28,0.07897721816541928,0.03744210366017132,0.04153511450524795,1e-08,1.0,1.0,1e-06,0.0001
other_down100,28,0.0790101839936789,0.03747507019951281,0.0415351137941661,1e-10,0.01,10.0,1e-08,1e-06
Hsmall_B10,28,0.07901018482476702,0.037475070319519056,0.04153511450524795,1e-08,0.01,10.0,1e-06,0.0001
other_down10,28,0.07901056750411817,0.03747545364535744,0.04153511385876072,1e-09,0.1,10.0,1e-07,1e-05
baseline_B10,28,0.07901470096035501,0.037479586455107065,0.04153511450524795,1e-08,1.0,10.0,1e-06,0.0001
other_up10,28,0.07906828319365031,0.03753316216960718,0.04153512102404314,1e-07,10.0,10.0,1e-05,0.001
B100,28,0.08168012969238339,0.040145015187135445,0.04153511450524795,1e-08,1.0,100.0,1e-06,0.0001
B1,32,0.06900890949052237,0.03300139257744916,0.036007516913073204,1e-08,1.0,1.0,1e-06,0.0001
baseline_B10,32,0.0690728889382052,0.033065372025132,0.036007516913073204,1e-08,1.0,10.0,1e-06,0.0001
other_down10,32,0.06907403023968434,0.03306651413768805,0.0360075161019963,1e-09,0.1,10.0,1e-07,1e-05
other_down100,32,0.06907421070053052,0.033066694679577735,0.03600751602095279,1e-10,0.01,10.0,1e-08,1e-06
Hsmall_B10,32,0.06907421151896831,0.0330666946058951,0.036007516913073204,1e-08,0.01,10.0,1e-06,0.0001
other_up10,32,0.06909622206452556,0.033088696977964786,0.03600752508656078,1e-07,10.0,10.0,1e-05,0.001
B100,32,0.0723183950435706,0.036310878130497395,0.036007516913073204,1e-08,1.0,100.0,1e-06,0.0001
other_up10,40,0.05795743590278374,0.029780492936976266,0.028176942965807476,1e-07,10.0,10.0,1e-05,0.001
B1,40,0.057970971486145176,0.029794021541141195,0.02817694994500398,1e-08,1.0,1.0,1e-06,0.0001
baseline_B10,40,0.05807348015750284,0.029896530212498863,0.02817694994500398,1e-08,1.0,10.0,1e-06,0.0001
other_down10,40,0.05810856256799378,0.029931611916435258,0.02817695065155852,1e-09,0.1,10.0,1e-07,1e-05
Hsmall_B10,40,0.0581126160003127,0.029935666055308723,0.02817694994500398,1e-08,0.01,10.0,1e-06,0.0001
other_down100,40,0.05811261694777371,0.02993566622547478,0.02817695072229893,1e-10,0.01,10.0,1e-08,1e-06
B100,40,0.06255091247119092,0.034373962526186935,0.02817694994500398,1e-08,1.0,100.0,1e-06,0.0001
